id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price
42504616,Manhattan,Upper East Side,40.778564453125,-73.95565795898438,Entire home/apt,159.0
42535595,Brooklyn,Bushwick,40.6958,-73.91255,Entire home/apt,99.0
42584450,Manhattan,Upper East Side,40.78287,-73.9451,Entire home/apt,89.0
42596536,Manhattan,Upper East Side,40.7732,-73.95157,Entire home/apt,99.0
42688012,Manhattan,Upper East Side,40.770451,-73.955894,Entire home/apt,99.0
42878514,Manhattan,Upper East Side,40.77342,-73.95161,Entire home/apt,200.0
42888442,Manhattan,Upper East Side,40.77328,-73.95003,Entire home/apt,190.0
42925669,Manhattan,Upper East Side,40.77316,-73.94999,Entire home/apt,120.0
43126400,Brooklyn,Bushwick,40.69666,-73.91435,Entire home/apt,150.0
42970160,Manhattan,East Harlem,40.79789,-73.93914,Entire home/apt,95.0
43012924,Brooklyn,Williamsburg,40.7074,-73.96202,Entire home/apt,230.0
43022519,Queens,Astoria,40.75811,-73.91527,Entire home/apt,220.0
43034172,Brooklyn,Williamsburg,40.71223,-73.96272,Entire home/apt,140.0
43054040,Brooklyn,Williamsburg,40.71314,-73.95667,Entire home/apt,100.0
43239496,Brooklyn,Bushwick,40.69589,-73.91444,Entire home/apt,100.0
43303056,Brooklyn,Williamsburg,40.70907,-73.96202,Entire home/apt,110.0
43499730,Brooklyn,Williamsburg,40.70988,-73.94842,Entire home/apt,84.0
43509173,Brooklyn,Bushwick,40.68693,-73.91461,Entire home/apt,111.0
43544781,Brooklyn,Williamsburg,40.71527,-73.96663,Entire home/apt,156.0
43568549,Manhattan,Upper East Side,40.77294,-73.94869,Entire home/apt,150.0
43317855,Brooklyn,Williamsburg,40.71809,-73.95836,Entire home/apt,150.0
43458250,Brooklyn,Bushwick,40.69653,-73.93047,Entire home/apt,120.0
43652025,Brooklyn,Williamsburg,40.7137,-73.96292,Entire home/apt,120.0
43701555,Manhattan,Upper East Side,40.7767,-73.94631,Entire home/apt,139.0
44020205,Manhattan,East Harlem,40.79062,-73.93962,Entire home/apt,195.0
44048372,Brooklyn,Bushwick,40.69146,-73.91714,Entire home/apt,128.0
44102245,Manhattan,Upper East Side,40.78043,-73.94892,Entire home/apt,90.0
44197064,Bronx,Williamsbridge,40.88002,-73.85464,Entire home/apt,100.0
43785452,Brooklyn,Williamsburg,40.7148,-73.96546,Entire home/apt,650.0
43834804,Brooklyn,Bushwick,40.7021,-73.91759,Entire home/apt,195.0
43928714,Manhattan,Upper East Side,40.78304,-73.94578,Entire home/apt,99.0
44261110,Manhattan,Upper East Side,40.7751289,-73.96470569999997,Entire home/apt,268.0
44277610,Manhattan,Upper East Side,40.77761,-73.94357,Entire home/apt,750.0
44288421,Manhattan,East Harlem,40.78781,-73.94687,Entire home/apt,236.0
44804027,Manhattan,East Harlem,40.79789,-73.93965,Entire home/apt,536.0
44892016,Brooklyn,Bushwick,40.69285,-73.91138,Entire home/apt,200.0
44463882,Brooklyn,Williamsburg,40.71776,-73.95769,Entire home/apt,450.0
44463986,Brooklyn,Williamsburg,40.71874,-73.95965,Entire home/apt,275.0
44503706,Manhattan,East Harlem,40.79891,-73.93581,Entire home/apt,125.0
44531911,Manhattan,East Harlem,40.79797,-73.93671,Entire home/apt,130.0
44631766,Manhattan,Upper East Side,40.78496,-73.95223,Entire home/apt,87.0
45086065,Manhattan,Upper East Side,40.78095,-73.95412,Entire home/apt,95.0
45091742,Brooklyn,Williamsburg,40.71513,-73.96158,Entire home/apt,680.0
45097782,Manhattan,Upper East Side,40.76925,-73.95773,Entire home/apt,129.0
45151029,Manhattan,Upper East Side,40.7719841003418,-73.95451354980469,Entire home/apt,97.0
45420463,Manhattan,Upper East Side,40.77595,-73.95559,Entire home/apt,211.0
45427869,Manhattan,Upper East Side,40.77595,-73.95559,Entire home/apt,284.0
